IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.76.213.245,2096,true,HKG,Asia Pacific,Hong Kong,68 ms,9784 kB/s
47.76.233.67,2053,true,HKG,Asia Pacific,Hong Kong,82 ms,9408 kB/s
47.76.189.102,2087,true,HKG,Asia Pacific,Hong Kong,88 ms,9405 kB/s
47.242.252.237,2053,true,HKG,Asia Pacific,Hong Kong,61 ms,9345 kB/s
47.242.36.78,2083,true,HKG,Asia Pacific,Hong Kong,68 ms,8899 kB/s
47.76.26.26,2083,true,HKG,Asia Pacific,Hong Kong,102 ms,8888 kB/s
8.210.3.24,2053,true,HKG,Asia Pacific,Hong Kong,57 ms,8726 kB/s
47.76.159.146,2087,true,HKG,Asia Pacific,Hong Kong,115 ms,8503 kB/s
8.210.39.96,2083,true,HKG,Asia Pacific,Hong Kong,54 ms,8489 kB/s
8.218.3.12,2083,true,HKG,Asia Pacific,Hong Kong,53 ms,8470 kB/s
47.76.29.115,2096,true,HKG,Asia Pacific,Hong Kong,90 ms,8329 kB/s
47.76.192.24,2087,true,HKG,Asia Pacific,Hong Kong,67 ms,8186 kB/s
47.76.225.255,2053,true,HKG,Asia Pacific,Hong Kong,76 ms,8158 kB/s
47.238.35.50,8443,true,HKG,Asia Pacific,Hong Kong,61 ms,7961 kB/s
47.76.26.26,2096,true,HKG,Asia Pacific,Hong Kong,117 ms,7843 kB/s
47.76.146.1,2087,true,HKG,Asia Pacific,Hong Kong,74 ms,7638 kB/s
47.243.86.79,2053,true,HKG,Asia Pacific,Hong Kong,64 ms,7623 kB/s
47.242.36.78,2053,true,HKG,Asia Pacific,Hong Kong,64 ms,7543 kB/s
8.210.39.96,2053,true,HKG,Asia Pacific,Hong Kong,59 ms,7509 kB/s
8.210.21.65,2053,true,HKG,Asia Pacific,Hong Kong,64 ms,7493 kB/s
47.243.86.79,2096,true,HKG,Asia Pacific,Hong Kong,59 ms,7185 kB/s
47.76.233.67,2087,true,HKG,Asia Pacific,Hong Kong,74 ms,7099 kB/s
47.242.36.78,2096,true,HKG,Asia Pacific,Hong Kong,66 ms,7048 kB/s
47.76.159.146,2053,true,HKG,Asia Pacific,Hong Kong,79 ms,6969 kB/s
8.210.3.24,2087,true,HKG,Asia Pacific,Hong Kong,64 ms,6921 kB/s
47.242.252.237,2096,true,HKG,Asia Pacific,Hong Kong,60 ms,6904 kB/s
47.243.60.150,2083,true,HKG,Asia Pacific,Hong Kong,66 ms,6664 kB/s
47.76.189.102,2083,true,HKG,Asia Pacific,Hong Kong,106 ms,6619 kB/s
47.238.35.50,2096,true,HKG,Asia Pacific,Hong Kong,63 ms,6604 kB/s
8.217.85.14,2087,true,HKG,Asia Pacific,Hong Kong,60 ms,6571 kB/s
47.243.86.79,2087,true,HKG,Asia Pacific,Hong Kong,58 ms,6338 kB/s
47.238.40.58,8443,true,HKG,Asia Pacific,Hong Kong,63 ms,6328 kB/s
47.243.86.79,8443,true,HKG,Asia Pacific,Hong Kong,63 ms,6139 kB/s
47.242.174.27,8443,true,HKG,Asia Pacific,Hong Kong,70 ms,6061 kB/s
47.242.232.14,2096,true,HKG,Asia Pacific,Hong Kong,74 ms,6012 kB/s
8.219.111.175,8443,true,SIN,Asia Pacific,Singapore,278 ms,5954 kB/s
47.76.159.146,2096,true,HKG,Asia Pacific,Hong Kong,104 ms,5874 kB/s
47.243.60.150,2053,true,HKG,Asia Pacific,Hong Kong,60 ms,5874 kB/s
47.242.174.27,2087,true,HKG,Asia Pacific,Hong Kong,64 ms,5848 kB/s
47.243.70.186,8443,true,HKG,Asia Pacific,Hong Kong,65 ms,5772 kB/s
8.219.106.156,2096,true,SIN,Asia Pacific,Singapore,284 ms,5759 kB/s
47.76.94.15,2087,true,HKG,Asia Pacific,Hong Kong,62 ms,5616 kB/s
8.217.85.14,2053,true,HKG,Asia Pacific,Hong Kong,76 ms,5583 kB/s
8.222.169.222,2053,true,SIN,Asia Pacific,Singapore,296 ms,5541 kB/s
47.242.232.14,2087,true,HKG,Asia Pacific,Hong Kong,64 ms,5470 kB/s
8.219.111.175,2096,true,SIN,Asia Pacific,Singapore,299 ms,5419 kB/s
8.219.111.175,2083,true,SIN,Asia Pacific,Singapore,283 ms,5407 kB/s
47.76.225.255,2087,true,HKG,Asia Pacific,Hong Kong,68 ms,5370 kB/s
47.242.174.27,2096,true,HKG,Asia Pacific,Hong Kong,62 ms,5352 kB/s
47.76.225.255,8443,true,HKG,Asia Pacific,Hong Kong,58 ms,5296 kB/s
47.243.139.85,2083,true,HKG,Asia Pacific,Hong Kong,66 ms,5289 kB/s
8.219.110.81,2096,true,SIN,Asia Pacific,Singapore,308 ms,5285 kB/s
8.222.208.38,2096,true,SIN,Asia Pacific,Singapore,283 ms,5263 kB/s
8.219.11.158,2087,true,SIN,Asia Pacific,Singapore,298 ms,5211 kB/s
8.219.147.58,8443,true,SIN,Asia Pacific,Singapore,300 ms,5184 kB/s
8.219.174.142,2087,true,SIN,Asia Pacific,Singapore,282 ms,5181 kB/s
8.219.222.98,2053,true,SIN,Asia Pacific,Singapore,285 ms,5178 kB/s
8.222.134.170,2096,true,SIN,Asia Pacific,Singapore,302 ms,5167 kB/s
47.243.139.85,2053,true,HKG,Asia Pacific,Hong Kong,62 ms,5160 kB/s
8.219.122.55,2083,true,SIN,Asia Pacific,Singapore,282 ms,5158 kB/s
8.219.114.201,2096,true,SIN,Asia Pacific,Singapore,285 ms,5140 kB/s
8.219.111.175,2053,true,SIN,Asia Pacific,Singapore,279 ms,5114 kB/s
8.219.222.98,2083,true,SIN,Asia Pacific,Singapore,291 ms,5087 kB/s
8.219.147.58,2096,true,SIN,Asia Pacific,Singapore,302 ms,5048 kB/s
8.219.49.65,2087,true,SIN,Asia Pacific,Singapore,280 ms,5023 kB/s
47.245.86.230,2053,true,SIN,Asia Pacific,Singapore,303 ms,5004 kB/s
8.219.147.58,2083,true,SIN,Asia Pacific,Singapore,290 ms,4989 kB/s
8.219.194.170,2087,true,SIN,Asia Pacific,Singapore,287 ms,4985 kB/s
47.245.84.124,2087,true,SIN,Asia Pacific,Singapore,331 ms,4971 kB/s
47.243.86.79,2083,true,HKG,Asia Pacific,Hong Kong,63 ms,4935 kB/s
47.236.10.182,8443,true,SIN,Asia Pacific,Singapore,300 ms,4924 kB/s
8.219.170.232,2087,true,SIN,Asia Pacific,Singapore,314 ms,4920 kB/s
8.218.3.12,2053,true,HKG,Asia Pacific,Hong Kong,59 ms,4910 kB/s
8.219.50.180,2087,true,SIN,Asia Pacific,Singapore,282 ms,4906 kB/s
8.219.174.142,2096,true,SIN,Asia Pacific,Singapore,305 ms,4866 kB/s
8.219.111.147,2083,true,SIN,Asia Pacific,Singapore,304 ms,4860 kB/s
8.219.117.198,8443,true,SIN,Asia Pacific,Singapore,277 ms,4853 kB/s
8.219.117.198,2053,true,SIN,Asia Pacific,Singapore,276 ms,4841 kB/s
47.245.114.163,2053,true,SIN,Asia Pacific,Singapore,306 ms,4827 kB/s
47.243.74.220,8443,true,HKG,Asia Pacific,Hong Kong,69 ms,4748 kB/s
47.76.26.26,8443,true,HKG,Asia Pacific,Hong Kong,101 ms,4727 kB/s
47.76.77.103,2083,true,HKG,Asia Pacific,Hong Kong,86 ms,4710 kB/s
8.222.156.242,8443,true,SIN,Asia Pacific,Singapore,280 ms,4703 kB/s
47.245.86.230,2087,true,SIN,Asia Pacific,Singapore,294 ms,4671 kB/s
47.236.253.41,2087,true,SIN,Asia Pacific,Singapore,291 ms,4655 kB/s
47.245.84.124,2083,true,SIN,Asia Pacific,Singapore,311 ms,4652 kB/s
47.245.86.230,2096,true,SIN,Asia Pacific,Singapore,296 ms,4645 kB/s
8.219.4.122,2087,true,SIN,Asia Pacific,Singapore,279 ms,4622 kB/s
47.245.114.163,2096,true,SIN,Asia Pacific,Singapore,301 ms,4620 kB/s
47.237.100.206,2096,true,SIN,Asia Pacific,Singapore,284 ms,4614 kB/s
47.76.233.67,2096,true,HKG,Asia Pacific,Hong Kong,107 ms,4610 kB/s
8.219.209.14,2083,true,SIN,Asia Pacific,Singapore,285 ms,4604 kB/s
8.219.201.245,2087,true,SIN,Asia Pacific,Singapore,283 ms,4602 kB/s
47.236.164.215,8443,true,SIN,Asia Pacific,Singapore,306 ms,4597 kB/s
47.237.95.13,2087,true,SIN,Asia Pacific,Singapore,300 ms,4581 kB/s
47.243.60.150,8443,true,HKG,Asia Pacific,Hong Kong,60 ms,4570 kB/s
8.219.78.1,2087,true,SIN,Asia Pacific,Singapore,286 ms,4556 kB/s
8.219.6.150,8443,true,SIN,Asia Pacific,Singapore,287 ms,4553 kB/s
47.245.114.163,2087,true,SIN,Asia Pacific,Singapore,315 ms,4540 kB/s
47.76.227.128,2083,true,HKG,Asia Pacific,Hong Kong,61 ms,4530 kB/s
47.245.118.70,2087,true,SIN,Asia Pacific,Singapore,295 ms,4529 kB/s
8.219.200.145,2053,true,SIN,Asia Pacific,Singapore,312 ms,4521 kB/s
8.219.77.222,2096,true,SIN,Asia Pacific,Singapore,299 ms,4515 kB/s
47.236.253.41,2083,true,SIN,Asia Pacific,Singapore,283 ms,4511 kB/s
47.236.167.231,8443,true,SIN,Asia Pacific,Singapore,300 ms,4498 kB/s
8.219.229.190,2053,true,SIN,Asia Pacific,Singapore,302 ms,4495 kB/s
8.219.170.232,443,true,SIN,Asia Pacific,Singapore,303 ms,4481 kB/s
8.219.106.156,8443,true,SIN,Asia Pacific,Singapore,297 ms,4470 kB/s
8.222.156.242,2096,true,SIN,Asia Pacific,Singapore,286 ms,4466 kB/s
8.222.191.138,2053,true,SIN,Asia Pacific,Singapore,321 ms,4466 kB/s
47.245.96.80,2096,true,SIN,Asia Pacific,Singapore,296 ms,4462 kB/s
8.219.174.213,2053,true,SIN,Asia Pacific,Singapore,283 ms,4460 kB/s
8.219.110.81,2083,true,SIN,Asia Pacific,Singapore,290 ms,4441 kB/s
47.243.139.85,2087,true,HKG,Asia Pacific,Hong Kong,61 ms,4430 kB/s
8.219.191.40,2087,true,SIN,Asia Pacific,Singapore,315 ms,4415 kB/s
8.219.114.201,2083,true,SIN,Asia Pacific,Singapore,291 ms,4397 kB/s
8.219.97.50,2096,true,SIN,Asia Pacific,Singapore,282 ms,4390 kB/s
8.219.161.129,2053,true,SIN,Asia Pacific,Singapore,280 ms,4362 kB/s
47.245.96.80,2053,true,SIN,Asia Pacific,Singapore,292 ms,4357 kB/s
47.236.130.95,2087,true,SIN,Asia Pacific,Singapore,305 ms,4356 kB/s
8.219.174.213,2096,true,SIN,Asia Pacific,Singapore,286 ms,4353 kB/s
8.219.142.191,2053,true,SIN,Asia Pacific,Singapore,296 ms,4351 kB/s
8.219.100.168,2053,true,SIN,Asia Pacific,Singapore,285 ms,4346 kB/s
47.245.118.70,2096,true,SIN,Asia Pacific,Singapore,300 ms,4319 kB/s
8.219.49.65,2083,true,SIN,Asia Pacific,Singapore,279 ms,4308 kB/s
8.219.229.190,2087,true,SIN,Asia Pacific,Singapore,309 ms,4307 kB/s
47.245.84.124,2053,true,SIN,Asia Pacific,Singapore,346 ms,4297 kB/s
8.219.191.40,2053,true,SIN,Asia Pacific,Singapore,307 ms,4290 kB/s
8.222.137.192,2053,true,SIN,Asia Pacific,Singapore,299 ms,4277 kB/s
8.217.248.220,2087,true,HKG,Asia Pacific,Hong Kong,57 ms,4266 kB/s
8.217.66.3,2096,true,HKG,Asia Pacific,Hong Kong,57 ms,4265 kB/s
8.219.78.1,2083,true,SIN,Asia Pacific,Singapore,286 ms,4255 kB/s
47.76.213.245,2083,true,HKG,Asia Pacific,Hong Kong,101 ms,4230 kB/s
8.219.117.198,2083,true,SIN,Asia Pacific,Singapore,278 ms,4226 kB/s
47.236.167.231,2083,true,SIN,Asia Pacific,Singapore,310 ms,4216 kB/s
47.237.10.1,2096,true,SIN,Asia Pacific,Singapore,283 ms,4215 kB/s
8.219.201.245,2096,true,SIN,Asia Pacific,Singapore,310 ms,4209 kB/s
8.219.177.205,8443,true,SIN,Asia Pacific,Singapore,363 ms,4204 kB/s
8.219.114.201,443,true,SIN,Asia Pacific,Singapore,282 ms,4187 kB/s
8.219.142.191,2083,true,SIN,Asia Pacific,Singapore,281 ms,4175 kB/s
8.219.194.170,2083,true,SIN,Asia Pacific,Singapore,288 ms,4168 kB/s
47.80.2.19,443,true,NRT,Asia Pacific,Tokyo,75 ms,4165 kB/s
47.76.32.108,2083,true,HKG,Asia Pacific,Hong Kong,63 ms,4164 kB/s
8.219.170.232,2053,true,SIN,Asia Pacific,Singapore,305 ms,4152 kB/s
47.245.118.70,2083,true,SIN,Asia Pacific,Singapore,311 ms,4148 kB/s
47.236.17.193,2087,true,SIN,Asia Pacific,Singapore,282 ms,4148 kB/s
47.236.237.90,8443,true,SIN,Asia Pacific,Singapore,284 ms,4137 kB/s
47.237.84.173,2083,true,SIN,Asia Pacific,Singapore,282 ms,4130 kB/s
47.236.167.231,2053,true,SIN,Asia Pacific,Singapore,290 ms,4127 kB/s
47.236.130.95,8443,true,SIN,Asia Pacific,Singapore,281 ms,4121 kB/s
8.217.142.78,80,true,SIN,Asia Pacific,Singapore,60 ms,4103 kB/s
8.219.106.156,2087,true,SIN,Asia Pacific,Singapore,296 ms,4101 kB/s
8.219.60.54,2087,true,SIN,Asia Pacific,Singapore,281 ms,4071 kB/s
8.219.237.250,2053,true,SIN,Asia Pacific,Singapore,275 ms,4066 kB/s
47.236.80.110,2087,true,SIN,Asia Pacific,Singapore,296 ms,4066 kB/s
8.219.60.54,2053,true,SIN,Asia Pacific,Singapore,283 ms,4060 kB/s
8.219.122.55,2096,true,SIN,Asia Pacific,Singapore,285 ms,4058 kB/s
47.243.60.150,2087,true,HKG,Asia Pacific,Hong Kong,58 ms,4050 kB/s
47.236.117.48,8443,true,SIN,Asia Pacific,Singapore,288 ms,4047 kB/s
8.219.189.143,2096,true,SIN,Asia Pacific,Singapore,330 ms,4043 kB/s
8.219.60.54,2096,true,SIN,Asia Pacific,Singapore,275 ms,4041 kB/s
47.245.84.124,8443,true,SIN,Asia Pacific,Singapore,311 ms,4030 kB/s
8.219.237.250,2096,true,SIN,Asia Pacific,Singapore,325 ms,4027 kB/s
47.245.86.230,2083,true,SIN,Asia Pacific,Singapore,294 ms,4019 kB/s
47.80.16.240,443,true,NRT,Asia Pacific,Tokyo,66 ms,3999 kB/s
8.219.199.220,2053,true,SIN,Asia Pacific,Singapore,300 ms,3996 kB/s
47.76.106.86,80,true,SIN,Asia Pacific,Singapore,96 ms,3996 kB/s
8.222.208.38,443,true,SIN,Asia Pacific,Singapore,308 ms,3995 kB/s
47.238.245.39,80,true,SIN,Asia Pacific,Singapore,59 ms,3978 kB/s
8.219.147.58,2087,true,SIN,Asia Pacific,Singapore,281 ms,3976 kB/s
8.219.177.205,2053,true,SIN,Asia Pacific,Singapore,332 ms,3975 kB/s
8.219.117.198,2096,true,SIN,Asia Pacific,Singapore,284 ms,3974 kB/s
8.219.194.170,2096,true,SIN,Asia Pacific,Singapore,294 ms,3973 kB/s
47.238.3.10,80,true,SIN,Asia Pacific,Singapore,58 ms,3965 kB/s
8.219.174.142,2083,true,SIN,Asia Pacific,Singapore,287 ms,3960 kB/s
47.236.145.85,2087,true,SIN,Asia Pacific,Singapore,304 ms,3952 kB/s
8.222.181.117,2053,true,SIN,Asia Pacific,Singapore,284 ms,3947 kB/s
8.222.193.65,8443,true,SIN,Asia Pacific,Singapore,291 ms,3925 kB/s
8.219.114.201,2087,true,SIN,Asia Pacific,Singapore,298 ms,3924 kB/s
47.236.10.182,2087,true,SIN,Asia Pacific,Singapore,323 ms,3923 kB/s
8.222.193.65,2083,true,SIN,Asia Pacific,Singapore,284 ms,3917 kB/s
47.236.165.25,2083,true,SIN,Asia Pacific,Singapore,323 ms,3916 kB/s
47.245.84.124,2096,true,SIN,Asia Pacific,Singapore,334 ms,3910 kB/s
47.237.84.173,8443,true,SIN,Asia Pacific,Singapore,306 ms,3897 kB/s
8.210.39.96,2087,true,HKG,Asia Pacific,Hong Kong,62 ms,3893 kB/s
8.219.237.250,2083,true,SIN,Asia Pacific,Singapore,289 ms,3892 kB/s
8.218.3.12,8443,true,HKG,Asia Pacific,Hong Kong,56 ms,3889 kB/s
47.237.82.15,2096,true,SIN,Asia Pacific,Singapore,280 ms,3880 kB/s
47.242.252.237,2087,true,HKG,Asia Pacific,Hong Kong,57 ms,3879 kB/s
8.219.201.245,2053,true,SIN,Asia Pacific,Singapore,278 ms,3874 kB/s
47.236.164.215,2053,true,SIN,Asia Pacific,Singapore,286 ms,3873 kB/s
47.236.180.24,2087,true,SIN,Asia Pacific,Singapore,286 ms,3860 kB/s
8.222.137.192,2083,true,SIN,Asia Pacific,Singapore,307 ms,3841 kB/s
47.245.105.224,8443,true,SIN,Asia Pacific,Singapore,326 ms,3826 kB/s
47.236.202.91,8443,true,SIN,Asia Pacific,Singapore,297 ms,3814 kB/s
8.219.191.40,2096,true,SIN,Asia Pacific,Singapore,302 ms,3804 kB/s
8.219.229.190,2096,true,SIN,Asia Pacific,Singapore,302 ms,3798 kB/s
47.236.102.102,2087,true,SIN,Asia Pacific,Singapore,316 ms,3790 kB/s
47.237.0.31,2087,true,SIN,Asia Pacific,Singapore,281 ms,3783 kB/s
8.219.120.87,2083,true,SIN,Asia Pacific,Singapore,277 ms,3781 kB/s
8.219.229.190,2083,true,SIN,Asia Pacific,Singapore,304 ms,3778 kB/s
47.236.145.85,443,true,SIN,Asia Pacific,Singapore,279 ms,3773 kB/s
8.219.199.220,2087,true,SIN,Asia Pacific,Singapore,302 ms,3765 kB/s
47.236.237.90,2087,true,SIN,Asia Pacific,Singapore,292 ms,3759 kB/s
8.222.137.192,2096,true,SIN,Asia Pacific,Singapore,283 ms,3753 kB/s
8.222.181.117,2096,true,SIN,Asia Pacific,Singapore,303 ms,3753 kB/s
8.219.50.180,2083,true,SIN,Asia Pacific,Singapore,283 ms,3730 kB/s
8.219.139.13,2053,true,SIN,Asia Pacific,Singapore,307 ms,3721 kB/s
47.236.202.91,2083,true,SIN,Asia Pacific,Singapore,282 ms,3714 kB/s
47.239.10.224,443,true,HKG,Asia Pacific,Hong Kong,66 ms,3713 kB/s
47.236.130.95,443,true,SIN,Asia Pacific,Singapore,285 ms,3710 kB/s
47.236.237.90,2053,true,SIN,Asia Pacific,Singapore,284 ms,3698 kB/s
47.236.180.51,8443,true,SIN,Asia Pacific,Singapore,290 ms,3684 kB/s
47.236.180.24,2096,true,SIN,Asia Pacific,Singapore,303 ms,3684 kB/s
47.237.84.173,2087,true,SIN,Asia Pacific,Singapore,289 ms,3678 kB/s
47.237.83.20,2087,true,SIN,Asia Pacific,Singapore,286 ms,3673 kB/s
8.219.124.227,2087,true,SIN,Asia Pacific,Singapore,309 ms,3673 kB/s
8.222.204.128,443,true,SIN,Asia Pacific,Singapore,288 ms,3666 kB/s
47.236.10.182,2053,true,SIN,Asia Pacific,Singapore,326 ms,3661 kB/s
47.243.139.85,8443,true,HKG,Asia Pacific,Hong Kong,58 ms,3650 kB/s
47.245.105.224,2053,true,SIN,Asia Pacific,Singapore,328 ms,3633 kB/s
47.236.145.85,2096,true,SIN,Asia Pacific,Singapore,302 ms,3615 kB/s
8.222.181.117,2087,true,SIN,Asia Pacific,Singapore,288 ms,3614 kB/s
47.243.139.85,2096,true,HKG,Asia Pacific,Hong Kong,61 ms,3599 kB/s
47.236.237.90,2096,true,SIN,Asia Pacific,Singapore,310 ms,3598 kB/s
47.236.237.90,2083,true,SIN,Asia Pacific,Singapore,284 ms,3590 kB/s
8.222.183.242,8443,true,SIN,Asia Pacific,Singapore,302 ms,3572 kB/s
8.210.100.23,2096,true,HKG,Asia Pacific,Hong Kong,75 ms,3564 kB/s
8.222.134.170,2087,true,SIN,Asia Pacific,Singapore,281 ms,3554 kB/s
47.236.164.215,2083,true,SIN,Asia Pacific,Singapore,323 ms,3532 kB/s
8.219.142.191,2087,true,SIN,Asia Pacific,Singapore,299 ms,3529 kB/s
47.245.126.151,2053,true,SIN,Asia Pacific,Singapore,298 ms,3528 kB/s
8.219.0.162,2053,true,SIN,Asia Pacific,Singapore,299 ms,3497 kB/s
8.219.122.55,2053,true,SIN,Asia Pacific,Singapore,299 ms,3487 kB/s
8.219.210.64,2083,true,SIN,Asia Pacific,Singapore,307 ms,3487 kB/s
8.219.153.237,8443,true,NRT,Asia Pacific,Tokyo,380 ms,3484 kB/s
47.243.90.180,8443,true,HKG,Asia Pacific,Hong Kong,64 ms,3480 kB/s
8.222.137.192,8443,true,SIN,Asia Pacific,Singapore,297 ms,3477 kB/s
8.219.114.201,8443,true,SIN,Asia Pacific,Singapore,304 ms,3461 kB/s
8.210.21.65,2096,true,HKG,Asia Pacific,Hong Kong,69 ms,3461 kB/s
47.76.204.76,2053,true,HKG,Asia Pacific,Hong Kong,56 ms,3448 kB/s
8.219.114.201,2053,true,SIN,Asia Pacific,Singapore,296 ms,3446 kB/s
47.237.8.82,2087,true,SIN,Asia Pacific,Singapore,274 ms,3434 kB/s
47.236.102.102,2083,true,SIN,Asia Pacific,Singapore,300 ms,3419 kB/s
8.219.104.37,2096,true,SIN,Asia Pacific,Singapore,282 ms,3407 kB/s
47.237.14.220,2087,true,SIN,Asia Pacific,Singapore,303 ms,3401 kB/s
47.236.10.182,2083,true,SIN,Asia Pacific,Singapore,317 ms,3401 kB/s
8.219.200.145,2096,true,SIN,Asia Pacific,Singapore,301 ms,3398 kB/s
47.237.8.82,2083,true,SIN,Asia Pacific,Singapore,293 ms,3395 kB/s
47.242.252.237,8443,true,HKG,Asia Pacific,Hong Kong,56 ms,3386 kB/s
47.237.8.82,2053,true,SIN,Asia Pacific,Singapore,292 ms,3377 kB/s
47.242.232.14,8443,true,HKG,Asia Pacific,Hong Kong,59 ms,3374 kB/s
8.217.248.220,2096,true,HKG,Asia Pacific,Hong Kong,58 ms,3369 kB/s
8.219.201.245,8443,true,SIN,Asia Pacific,Singapore,280 ms,3347 kB/s
47.237.84.173,2096,true,SIN,Asia Pacific,Singapore,303 ms,3333 kB/s
47.242.36.78,8443,true,HKG,Asia Pacific,Hong Kong,102 ms,3319 kB/s
47.243.74.220,2087,true,HKG,Asia Pacific,Hong Kong,57 ms,3312 kB/s
8.219.122.55,8443,true,SIN,Asia Pacific,Singapore,280 ms,3308 kB/s
47.236.145.85,2083,true,SIN,Asia Pacific,Singapore,306 ms,3290 kB/s
8.222.156.242,2087,true,SIN,Asia Pacific,Singapore,295 ms,3289 kB/s
8.210.21.65,2087,true,HKG,Asia Pacific,Hong Kong,71 ms,3266 kB/s
47.237.121.38,2053,true,SIN,Asia Pacific,Singapore,290 ms,3250 kB/s
8.219.161.129,2096,true,SIN,Asia Pacific,Singapore,304 ms,3244 kB/s
8.219.229.190,8443,true,SIN,Asia Pacific,Singapore,282 ms,3209 kB/s
47.76.192.24,2083,true,HKG,Asia Pacific,Hong Kong,81 ms,3208 kB/s
47.236.180.51,2083,true,SIN,Asia Pacific,Singapore,309 ms,3188 kB/s
8.222.208.38,8443,true,SIN,Asia Pacific,Singapore,284 ms,3176 kB/s
47.236.102.102,2053,true,SIN,Asia Pacific,Singapore,283 ms,3159 kB/s
47.236.117.48,2053,true,SIN,Asia Pacific,Singapore,283 ms,3158 kB/s
47.239.12.227,80,true,SIN,Asia Pacific,Singapore,60 ms,3156 kB/s
8.219.60.54,2083,true,SIN,Asia Pacific,Singapore,278 ms,3151 kB/s
