IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.76.192.24,8880,false,HKG,Asia Pacific,Hong Kong,61 ms,15151 kB/s
8.210.146.108,2082,false,HKG,Asia Pacific,Hong Kong,59 ms,15148 kB/s
47.243.255.224,2082,false,HKG,Asia Pacific,Hong Kong,58 ms,15086 kB/s
8.217.181.213,2095,false,HKG,Asia Pacific,Hong Kong,67 ms,14980 kB/s
8.218.3.198,80,false,HKG,Asia Pacific,Hong Kong,64 ms,14925 kB/s
47.74.155.26,80,false,SIN,Asia Pacific,Singapore,107 ms,14818 kB/s
8.218.98.75,2052,false,HKG,Asia Pacific,Hong Kong,60 ms,14783 kB/s
8.217.145.40,2086,false,HKG,Asia Pacific,Hong Kong,61 ms,14768 kB/s
8.210.245.224,2052,false,HKG,Asia Pacific,Hong Kong,62 ms,14687 kB/s
8.218.181.189,2095,false,HKG,Asia Pacific,Hong Kong,66 ms,14637 kB/s
8.217.250.5,2095,false,HKG,Asia Pacific,Hong Kong,54 ms,14556 kB/s
8.218.8.142,2052,false,HKG,Asia Pacific,Hong Kong,60 ms,14331 kB/s
8.210.119.11,2052,false,HKG,Asia Pacific,Hong Kong,57 ms,14177 kB/s
47.76.192.24,2082,false,HKG,Asia Pacific,Hong Kong,60 ms,14171 kB/s
47.243.18.199,2052,false,HKG,Asia Pacific,Hong Kong,77 ms,14101 kB/s
47.76.37.57,2052,false,HKG,Asia Pacific,Hong Kong,66 ms,14017 kB/s
47.243.91.58,8880,false,HKG,Asia Pacific,Hong Kong,71 ms,13799 kB/s
47.243.206.150,2082,false,HKG,Asia Pacific,Hong Kong,62 ms,13728 kB/s
8.210.174.156,2052,false,HKG,Asia Pacific,Hong Kong,56 ms,13684 kB/s
8.210.101.157,8880,false,HKG,Asia Pacific,Hong Kong,63 ms,13678 kB/s
8.217.159.210,2082,false,HKG,Asia Pacific,Hong Kong,57 ms,13549 kB/s
47.76.98.98,2052,false,HKG,Asia Pacific,Hong Kong,58 ms,13524 kB/s
8.210.107.246,8880,false,HKG,Asia Pacific,Hong Kong,61 ms,13372 kB/s
8.218.122.55,8080,false,HKG,Asia Pacific,Hong Kong,76 ms,13316 kB/s
47.242.234.127,2052,false,HKG,Asia Pacific,Hong Kong,63 ms,13285 kB/s
8.218.211.17,2052,false,HKG,Asia Pacific,Hong Kong,58 ms,13261 kB/s
8.210.174.156,8080,false,HKG,Asia Pacific,Hong Kong,68 ms,13118 kB/s
8.210.63.130,2095,false,HKG,Asia Pacific,Hong Kong,62 ms,13091 kB/s
8.210.3.24,80,false,HKG,Asia Pacific,Hong Kong,61 ms,13046 kB/s
47.243.183.127,8880,false,HKG,Asia Pacific,Hong Kong,60 ms,13027 kB/s
8.210.63.130,2086,false,HKG,Asia Pacific,Hong Kong,63 ms,13025 kB/s
8.210.34.188,8880,false,HKG,Asia Pacific,Hong Kong,65 ms,12949 kB/s
8.218.204.128,2082,false,HKG,Asia Pacific,Hong Kong,65 ms,12934 kB/s
47.76.178.146,2052,false,HKG,Asia Pacific,Hong Kong,61 ms,12894 kB/s
8.210.89.245,80,false,HKG,Asia Pacific,Hong Kong,60 ms,12888 kB/s
47.76.49.246,2086,false,HKG,Asia Pacific,Hong Kong,60 ms,12886 kB/s
8.210.65.1,2082,false,HKG,Asia Pacific,Hong Kong,56 ms,12838 kB/s
47.243.186.171,2052,false,HKG,Asia Pacific,Hong Kong,59 ms,12639 kB/s
8.217.154.218,8080,false,HKG,Asia Pacific,Hong Kong,58 ms,12601 kB/s
8.218.48.92,2052,false,HKG,Asia Pacific,Hong Kong,62 ms,12436 kB/s
8.217.147.230,2086,false,HKG,Asia Pacific,Hong Kong,61 ms,12431 kB/s
8.217.239.116,2052,false,HKG,Asia Pacific,Hong Kong,70 ms,12390 kB/s
8.210.89.245,2086,false,HKG,Asia Pacific,Hong Kong,66 ms,12357 kB/s
47.76.225.255,2086,false,HKG,Asia Pacific,Hong Kong,60 ms,12305 kB/s
8.218.228.152,2086,false,HKG,Asia Pacific,Hong Kong,54 ms,12276 kB/s
8.217.145.40,2052,false,HKG,Asia Pacific,Hong Kong,56 ms,12199 kB/s
47.243.173.187,8080,false,HKG,Asia Pacific,Hong Kong,88 ms,12121 kB/s
47.242.155.183,2082,false,HKG,Asia Pacific,Hong Kong,64 ms,12077 kB/s
47.243.139.243,8880,false,HKG,Asia Pacific,Hong Kong,71 ms,12032 kB/s
8.218.204.128,2052,false,HKG,Asia Pacific,Hong Kong,58 ms,12030 kB/s
47.76.192.24,8080,false,HKG,Asia Pacific,Hong Kong,63 ms,11965 kB/s
8.217.207.60,2086,false,HKG,Asia Pacific,Hong Kong,61 ms,11921 kB/s
47.242.234.127,80,false,HKG,Asia Pacific,Hong Kong,57 ms,11917 kB/s
8.218.2.181,2052,false,HKG,Asia Pacific,Hong Kong,58 ms,11888 kB/s
8.218.126.53,2052,false,HKG,Asia Pacific,Hong Kong,61 ms,11872 kB/s
8.217.207.60,8080,false,HKG,Asia Pacific,Hong Kong,61 ms,11851 kB/s
8.218.65.237,2052,false,HKG,Asia Pacific,Hong Kong,57 ms,11839 kB/s
8.217.149.28,2095,false,HKG,Asia Pacific,Hong Kong,56 ms,11698 kB/s
47.242.36.78,2052,false,HKG,Asia Pacific,Hong Kong,58 ms,11633 kB/s
47.242.59.216,2086,false,HKG,Asia Pacific,Hong Kong,55 ms,11633 kB/s
8.210.66.190,2095,false,HKG,Asia Pacific,Hong Kong,53 ms,11580 kB/s
8.218.122.55,2052,false,HKG,Asia Pacific,Hong Kong,73 ms,11568 kB/s
8.210.63.130,2082,false,HKG,Asia Pacific,Hong Kong,56 ms,11536 kB/s
47.243.42.219,2052,false,HKG,Asia Pacific,Hong Kong,61 ms,11521 kB/s
8.217.193.25,8080,false,HKG,Asia Pacific,Hong Kong,66 ms,11514 kB/s
47.76.227.128,2052,false,HKG,Asia Pacific,Hong Kong,60 ms,11505 kB/s
8.217.72.0,2052,false,HKG,Asia Pacific,Hong Kong,57 ms,11243 kB/s
8.218.85.128,2082,false,HKG,Asia Pacific,Hong Kong,59 ms,11226 kB/s
47.243.173.187,2082,false,HKG,Asia Pacific,Hong Kong,78 ms,11222 kB/s
47.242.157.96,80,false,HKG,Asia Pacific,Hong Kong,57 ms,11182 kB/s
8.217.147.230,8880,false,HKG,Asia Pacific,Hong Kong,63 ms,11181 kB/s
47.242.107.109,8880,false,HKG,Asia Pacific,Hong Kong,65 ms,11179 kB/s
47.242.171.94,2082,false,HKG,Asia Pacific,Hong Kong,58 ms,11112 kB/s
47.243.86.79,8080,false,HKG,Asia Pacific,Hong Kong,61 ms,11063 kB/s
8.217.207.60,8880,false,HKG,Asia Pacific,Hong Kong,58 ms,11062 kB/s
8.218.142.253,80,false,HKG,Asia Pacific,Hong Kong,66 ms,11037 kB/s
47.243.27.217,2082,false,HKG,Asia Pacific,Hong Kong,62 ms,10958 kB/s
47.243.42.219,2095,false,HKG,Asia Pacific,Hong Kong,72 ms,10933 kB/s
47.242.171.94,2086,false,HKG,Asia Pacific,Hong Kong,58 ms,10883 kB/s
47.242.79.71,2052,false,HKG,Asia Pacific,Hong Kong,64 ms,10861 kB/s
8.218.243.95,2082,false,HKG,Asia Pacific,Hong Kong,56 ms,10856 kB/s
8.218.52.115,2082,false,HKG,Asia Pacific,Hong Kong,61 ms,10842 kB/s
8.217.145.40,80,false,HKG,Asia Pacific,Hong Kong,68 ms,10799 kB/s
8.218.146.204,80,false,HKG,Asia Pacific,Hong Kong,64 ms,10776 kB/s
8.218.136.25,80,false,HKG,Asia Pacific,Hong Kong,59 ms,10757 kB/s
47.243.74.220,8880,false,HKG,Asia Pacific,Hong Kong,54 ms,10757 kB/s
8.218.146.204,2052,false,HKG,Asia Pacific,Hong Kong,62 ms,10743 kB/s
47.243.74.220,2082,false,HKG,Asia Pacific,Hong Kong,54 ms,10715 kB/s
8.218.53.110,2086,false,HKG,Asia Pacific,Hong Kong,54 ms,10684 kB/s
8.218.201.73,8880,false,HKG,Asia Pacific,Hong Kong,63 ms,10664 kB/s
8.217.164.10,2082,false,HKG,Asia Pacific,Hong Kong,57 ms,10520 kB/s
8.210.164.75,2086,false,HKG,Asia Pacific,Hong Kong,62 ms,10518 kB/s
8.217.251.62,2082,false,HKG,Asia Pacific,Hong Kong,58 ms,10506 kB/s
8.210.175.109,2052,false,HKG,Asia Pacific,Hong Kong,66 ms,10499 kB/s
8.218.136.25,2052,false,HKG,Asia Pacific,Hong Kong,64 ms,10490 kB/s
8.210.175.109,2082,false,HKG,Asia Pacific,Hong Kong,58 ms,10480 kB/s
47.243.234.9,2082,false,HKG,Asia Pacific,Hong Kong,65 ms,10452 kB/s
8.217.250.5,2082,false,HKG,Asia Pacific,Hong Kong,63 ms,10402 kB/s
8.218.18.235,2082,false,HKG,Asia Pacific,Hong Kong,63 ms,10353 kB/s
47.242.157.96,2052,false,HKG,Asia Pacific,Hong Kong,66 ms,10255 kB/s
8.218.143.10,8880,false,HKG,Asia Pacific,Hong Kong,68 ms,10252 kB/s
47.243.186.171,8080,false,HKG,Asia Pacific,Hong Kong,61 ms,10174 kB/s
47.242.7.162,8880,false,HKG,Asia Pacific,Hong Kong,68 ms,10168 kB/s
8.217.91.121,2082,false,HKG,Asia Pacific,Hong Kong,61 ms,10136 kB/s
8.218.52.115,8080,false,HKG,Asia Pacific,Hong Kong,62 ms,10087 kB/s
47.243.243.14,8880,false,HKG,Asia Pacific,Hong Kong,67 ms,10083 kB/s
47.243.5.154,2095,false,HKG,Asia Pacific,Hong Kong,66 ms,10037 kB/s
8.210.48.107,2082,false,HKG,Asia Pacific,Hong Kong,58 ms,10031 kB/s
8.217.248.220,2052,false,HKG,Asia Pacific,Hong Kong,64 ms,10018 kB/s
8.218.74.119,2052,false,HKG,Asia Pacific,Hong Kong,65 ms,9991 kB/s
47.243.173.187,2086,false,HKG,Asia Pacific,Hong Kong,81 ms,9969 kB/s
47.242.79.71,2082,false,HKG,Asia Pacific,Hong Kong,61 ms,9957 kB/s
8.218.204.128,2095,false,HKG,Asia Pacific,Hong Kong,66 ms,9926 kB/s
47.243.169.63,2052,false,HKG,Asia Pacific,Hong Kong,60 ms,9915 kB/s
47.243.5.154,2082,false,HKG,Asia Pacific,Hong Kong,66 ms,9915 kB/s
8.218.65.237,2082,false,HKG,Asia Pacific,Hong Kong,60 ms,9878 kB/s
47.242.174.27,2052,false,HKG,Asia Pacific,Hong Kong,66 ms,9857 kB/s
8.218.85.128,8080,false,HKG,Asia Pacific,Hong Kong,67 ms,9814 kB/s
8.217.193.25,2095,false,HKG,Asia Pacific,Hong Kong,70 ms,9765 kB/s
47.243.42.219,2086,false,HKG,Asia Pacific,Hong Kong,56 ms,9750 kB/s
8.217.221.165,2086,false,HKG,Asia Pacific,Hong Kong,59 ms,9699 kB/s
8.218.146.204,2082,false,HKG,Asia Pacific,Hong Kong,64 ms,9673 kB/s
47.76.26.26,2052,false,HKG,Asia Pacific,Hong Kong,64 ms,9636 kB/s
8.210.156.6,80,false,HKG,Asia Pacific,Hong Kong,57 ms,9615 kB/s
8.210.55.134,2095,false,HKG,Asia Pacific,Hong Kong,61 ms,9604 kB/s
8.218.22.210,2052,false,HKG,Asia Pacific,Hong Kong,58 ms,9578 kB/s
8.210.85.222,8880,false,HKG,Asia Pacific,Hong Kong,62 ms,9560 kB/s
8.217.159.210,2086,false,HKG,Asia Pacific,Hong Kong,57 ms,9493 kB/s
8.218.204.128,8880,false,HKG,Asia Pacific,Hong Kong,60 ms,9424 kB/s
8.218.188.129,2082,false,HKG,Asia Pacific,Hong Kong,64 ms,9396 kB/s
47.243.51.171,2086,false,HKG,Asia Pacific,Hong Kong,60 ms,9379 kB/s
8.218.3.198,2052,false,HKG,Asia Pacific,Hong Kong,60 ms,9355 kB/s
8.218.155.238,8880,false,HKG,Asia Pacific,Hong Kong,63 ms,9316 kB/s
8.217.221.165,2082,false,HKG,Asia Pacific,Hong Kong,64 ms,9276 kB/s
8.217.164.10,8080,false,HKG,Asia Pacific,Hong Kong,62 ms,9202 kB/s
8.217.127.73,2052,false,HKG,Asia Pacific,Hong Kong,63 ms,9157 kB/s
47.238.6.58,2082,false,HKG,Asia Pacific,Hong Kong,58 ms,9120 kB/s
47.242.125.241,2086,false,HKG,Asia Pacific,Hong Kong,60 ms,9097 kB/s
47.242.174.27,2095,false,HKG,Asia Pacific,Hong Kong,67 ms,9068 kB/s
8.217.250.222,2052,false,HKG,Asia Pacific,Hong Kong,59 ms,9038 kB/s
47.76.178.146,2082,false,HKG,Asia Pacific,Hong Kong,63 ms,9010 kB/s
47.243.86.79,8880,false,HKG,Asia Pacific,Hong Kong,64 ms,9005 kB/s
8.210.43.213,2095,false,HKG,Asia Pacific,Hong Kong,67 ms,8991 kB/s
8.210.34.188,2052,false,HKG,Asia Pacific,Hong Kong,56 ms,8944 kB/s
8.210.39.96,2082,false,HKG,Asia Pacific,Hong Kong,58 ms,8942 kB/s
8.210.85.222,80,false,HKG,Asia Pacific,Hong Kong,65 ms,8923 kB/s
47.243.255.224,2052,false,HKG,Asia Pacific,Hong Kong,64 ms,8889 kB/s
47.76.178.146,2086,false,HKG,Asia Pacific,Hong Kong,66 ms,8859 kB/s
8.217.207.60,2095,false,HKG,Asia Pacific,Hong Kong,61 ms,8813 kB/s
8.210.43.213,2082,false,HKG,Asia Pacific,Hong Kong,72 ms,8812 kB/s
47.243.27.217,8080,false,HKG,Asia Pacific,Hong Kong,62 ms,8806 kB/s
8.218.126.53,2082,false,HKG,Asia Pacific,Hong Kong,60 ms,8803 kB/s
8.218.8.142,8080,false,HKG,Asia Pacific,Hong Kong,69 ms,8756 kB/s
8.217.232.246,2052,false,HKG,Asia Pacific,Hong Kong,56 ms,8755 kB/s
8.218.173.78,2052,false,HKG,Asia Pacific,Hong Kong,63 ms,8726 kB/s
8.218.146.204,2086,false,HKG,Asia Pacific,Hong Kong,60 ms,8698 kB/s
8.218.207.169,2082,false,HKG,Asia Pacific,Hong Kong,64 ms,8696 kB/s
8.210.65.1,8080,false,HKG,Asia Pacific,Hong Kong,53 ms,8685 kB/s
47.242.79.71,2095,false,HKG,Asia Pacific,Hong Kong,64 ms,8680 kB/s
47.76.49.246,80,false,HKG,Asia Pacific,Hong Kong,57 ms,8653 kB/s
47.243.74.220,2052,false,HKG,Asia Pacific,Hong Kong,55 ms,8609 kB/s
8.217.50.252,2095,false,HKG,Asia Pacific,Hong Kong,66 ms,8591 kB/s
47.243.139.85,2095,false,HKG,Asia Pacific,Hong Kong,72 ms,8548 kB/s
8.217.207.60,80,false,HKG,Asia Pacific,Hong Kong,73 ms,8515 kB/s
8.218.174.118,2086,false,HKG,Asia Pacific,Hong Kong,56 ms,8485 kB/s
8.218.173.78,2082,false,HKG,Asia Pacific,Hong Kong,59 ms,8457 kB/s
8.217.49.34,2052,false,HKG,Asia Pacific,Hong Kong,70 ms,8456 kB/s
47.76.146.1,8080,false,HKG,Asia Pacific,Hong Kong,61 ms,8439 kB/s
8.217.154.218,80,false,HKG,Asia Pacific,Hong Kong,55 ms,8435 kB/s
8.217.121.207,2082,false,HKG,Asia Pacific,Hong Kong,59 ms,8433 kB/s
47.243.26.83,2052,false,HKG,Asia Pacific,Hong Kong,56 ms,8432 kB/s
8.210.146.108,2052,false,HKG,Asia Pacific,Hong Kong,64 ms,8346 kB/s
8.218.174.118,2052,false,HKG,Asia Pacific,Hong Kong,63 ms,8344 kB/s
47.243.86.79,80,false,HKG,Asia Pacific,Hong Kong,57 ms,8323 kB/s
8.218.65.171,80,false,HKG,Asia Pacific,Hong Kong,63 ms,8318 kB/s
8.218.3.12,2082,false,HKG,Asia Pacific,Hong Kong,59 ms,8309 kB/s
47.243.86.79,2086,false,HKG,Asia Pacific,Hong Kong,57 ms,8309 kB/s
8.218.18.132,8880,false,HKG,Asia Pacific,Hong Kong,64 ms,8302 kB/s
8.210.66.190,2052,false,HKG,Asia Pacific,Hong Kong,56 ms,8255 kB/s
47.76.146.1,2095,false,HKG,Asia Pacific,Hong Kong,57 ms,8251 kB/s
8.217.50.252,2052,false,HKG,Asia Pacific,Hong Kong,63 ms,8194 kB/s
8.210.174.156,2082,false,HKG,Asia Pacific,Hong Kong,57 ms,8188 kB/s
8.217.181.213,2082,false,HKG,Asia Pacific,Hong Kong,67 ms,8165 kB/s
8.218.211.17,8880,false,HKG,Asia Pacific,Hong Kong,64 ms,8154 kB/s
8.218.155.238,2095,false,HKG,Asia Pacific,Hong Kong,57 ms,8141 kB/s
8.210.43.213,2052,false,HKG,Asia Pacific,Hong Kong,75 ms,8132 kB/s
8.218.3.198,2082,false,HKG,Asia Pacific,Hong Kong,57 ms,8132 kB/s
8.217.123.243,2095,false,HKG,Asia Pacific,Hong Kong,62 ms,8118 kB/s
47.243.203.119,2095,false,HKG,Asia Pacific,Hong Kong,67 ms,8103 kB/s
47.242.176.237,2082,false,HKG,Asia Pacific,Hong Kong,58 ms,8103 kB/s
47.242.107.109,2086,false,HKG,Asia Pacific,Hong Kong,55 ms,8091 kB/s
8.218.204.128,2086,false,HKG,Asia Pacific,Hong Kong,65 ms,8085 kB/s
47.243.206.150,80,false,HKG,Asia Pacific,Hong Kong,66 ms,8072 kB/s
47.238.43.79,80,false,HKG,Asia Pacific,Hong Kong,55 ms,8025 kB/s
8.217.251.62,2095,false,HKG,Asia Pacific,Hong Kong,62 ms,8016 kB/s
8.210.21.65,2052,false,HKG,Asia Pacific,Hong Kong,65 ms,8007 kB/s
47.76.178.146,2095,false,HKG,Asia Pacific,Hong Kong,58 ms,7998 kB/s
47.242.7.162,2086,false,HKG,Asia Pacific,Hong Kong,70 ms,7959 kB/s
47.242.252.237,2052,false,HKG,Asia Pacific,Hong Kong,56 ms,7952 kB/s
8.210.66.190,2082,false,HKG,Asia Pacific,Hong Kong,59 ms,7936 kB/s
8.218.136.25,2082,false,HKG,Asia Pacific,Hong Kong,59 ms,7935 kB/s
8.210.48.107,80,false,HKG,Asia Pacific,Hong Kong,57 ms,7935 kB/s
8.217.149.28,2052,false,HKG,Asia Pacific,Hong Kong,63 ms,7935 kB/s
8.210.63.130,8080,false,HKG,Asia Pacific,Hong Kong,60 ms,7917 kB/s
8.210.89.245,2095,false,HKG,Asia Pacific,Hong Kong,61 ms,7916 kB/s
8.218.142.253,2086,false,HKG,Asia Pacific,Hong Kong,62 ms,7898 kB/s
47.243.42.219,2082,false,HKG,Asia Pacific,Hong Kong,67 ms,7866 kB/s
47.243.60.150,2086,false,HKG,Asia Pacific,Hong Kong,64 ms,7799 kB/s
47.243.203.119,2052,false,HKG,Asia Pacific,Hong Kong,64 ms,7797 kB/s
8.217.123.243,8880,false,HKG,Asia Pacific,Hong Kong,67 ms,7790 kB/s
8.210.65.1,2052,false,HKG,Asia Pacific,Hong Kong,63 ms,7789 kB/s
47.243.139.85,80,false,HKG,Asia Pacific,Hong Kong,69 ms,7770 kB/s
8.217.159.210,8880,false,HKG,Asia Pacific,Hong Kong,61 ms,7768 kB/s
8.218.126.53,2086,false,HKG,Asia Pacific,Hong Kong,65 ms,7763 kB/s
8.218.85.128,2086,false,HKG,Asia Pacific,Hong Kong,63 ms,7745 kB/s
47.243.255.224,2095,false,HKG,Asia Pacific,Hong Kong,65 ms,7729 kB/s
8.218.53.110,8080,false,HKG,Asia Pacific,Hong Kong,59 ms,7681 kB/s
8.210.85.222,2095,false,HKG,Asia Pacific,Hong Kong,66 ms,7671 kB/s
47.243.91.58,80,false,HKG,Asia Pacific,Hong Kong,59 ms,7657 kB/s
8.210.39.96,8080,false,HKG,Asia Pacific,Hong Kong,67 ms,7621 kB/s
8.218.126.53,8880,false,HKG,Asia Pacific,Hong Kong,69 ms,7601 kB/s
8.218.18.132,2086,false,HKG,Asia Pacific,Hong Kong,67 ms,7594 kB/s
47.243.183.127,2086,false,HKG,Asia Pacific,Hong Kong,67 ms,7551 kB/s
8.218.81.14,2082,false,HKG,Asia Pacific,Hong Kong,57 ms,7529 kB/s
8.217.181.213,80,false,HKG,Asia Pacific,Hong Kong,68 ms,7525 kB/s
8.217.123.243,2082,false,HKG,Asia Pacific,Hong Kong,68 ms,7493 kB/s
47.238.6.58,8080,false,HKG,Asia Pacific,Hong Kong,63 ms,7480 kB/s
47.243.206.150,2052,false,HKG,Asia Pacific,Hong Kong,61 ms,7456 kB/s
8.210.66.190,8880,false,HKG,Asia Pacific,Hong Kong,61 ms,7431 kB/s
8.218.136.25,8880,false,HKG,Asia Pacific,Hong Kong,60 ms,7415 kB/s
47.243.86.79,2095,false,HKG,Asia Pacific,Hong Kong,64 ms,7410 kB/s
8.218.122.55,2086,false,HKG,Asia Pacific,Hong Kong,70 ms,7404 kB/s
8.218.201.73,2052,false,HKG,Asia Pacific,Hong Kong,77 ms,7396 kB/s
47.243.234.9,2052,false,HKG,Asia Pacific,Hong Kong,70 ms,7387 kB/s
47.238.43.79,8880,false,HKG,Asia Pacific,Hong Kong,59 ms,7382 kB/s
8.210.89.245,2052,false,HKG,Asia Pacific,Hong Kong,67 ms,7368 kB/s
8.218.65.171,2052,false,HKG,Asia Pacific,Hong Kong,63 ms,7362 kB/s
8.210.192.93,2052,false,HKG,Asia Pacific,Hong Kong,66 ms,7346 kB/s
8.218.178.79,2082,false,HKG,Asia Pacific,Hong Kong,65 ms,7302 kB/s
47.243.70.186,80,false,HKG,Asia Pacific,Hong Kong,61 ms,7298 kB/s
8.217.181.213,2052,false,HKG,Asia Pacific,Hong Kong,62 ms,7291 kB/s
8.218.22.210,2086,false,HKG,Asia Pacific,Hong Kong,60 ms,7286 kB/s
8.210.192.93,2095,false,HKG,Asia Pacific,Hong Kong,72 ms,7277 kB/s
8.218.18.132,2052,false,HKG,Asia Pacific,Hong Kong,62 ms,7274 kB/s
8.217.121.207,80,false,HKG,Asia Pacific,Hong Kong,66 ms,7253 kB/s
8.210.43.213,8080,false,HKG,Asia Pacific,Hong Kong,64 ms,7246 kB/s
47.238.6.58,80,false,HKG,Asia Pacific,Hong Kong,62 ms,7233 kB/s
8.218.65.237,2086,false,HKG,Asia Pacific,Hong Kong,70 ms,7231 kB/s
8.210.63.130,8880,false,HKG,Asia Pacific,Hong Kong,64 ms,7196 kB/s
47.243.183.127,8080,false,HKG,Asia Pacific,Hong Kong,70 ms,7195 kB/s
8.218.18.235,2086,false,HKG,Asia Pacific,Hong Kong,60 ms,7191 kB/s
47.243.5.154,8880,false,HKG,Asia Pacific,Hong Kong,65 ms,7173 kB/s
47.243.51.171,2082,false,HKG,Asia Pacific,Hong Kong,55 ms,7144 kB/s
8.218.201.73,80,false,HKG,Asia Pacific,Hong Kong,72 ms,7105 kB/s
8.217.221.165,2052,false,HKG,Asia Pacific,Hong Kong,60 ms,7065 kB/s
47.242.119.104,80,false,HKG,Asia Pacific,Hong Kong,58 ms,7057 kB/s
8.218.181.189,2086,false,HKG,Asia Pacific,Hong Kong,71 ms,6993 kB/s
47.243.234.9,2095,false,HKG,Asia Pacific,Hong Kong,63 ms,6977 kB/s
8.217.193.25,2052,false,HKG,Asia Pacific,Hong Kong,62 ms,6975 kB/s
8.217.127.73,8880,false,HKG,Asia Pacific,Hong Kong,66 ms,6955 kB/s
47.243.90.180,8880,false,HKG,Asia Pacific,Hong Kong,61 ms,6952 kB/s
8.218.143.10,2052,false,HKG,Asia Pacific,Hong Kong,60 ms,6912 kB/s
8.210.63.130,80,false,HKG,Asia Pacific,Hong Kong,72 ms,6906 kB/s
47.242.155.183,2086,false,HKG,Asia Pacific,Hong Kong,65 ms,6879 kB/s
8.218.222.36,8880,false,HKG,Asia Pacific,Hong Kong,60 ms,6835 kB/s
47.243.255.224,80,false,HKG,Asia Pacific,Hong Kong,64 ms,6770 kB/s
8.210.192.93,80,false,HKG,Asia Pacific,Hong Kong,64 ms,6764 kB/s
8.210.192.93,2082,false,HKG,Asia Pacific,Hong Kong,66 ms,6743 kB/s
