IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.238.43.79,8080,false,HKG,Asia Pacific,Hong Kong,59 ms,6170 kB/s
8.218.48.92,2086,false,HKG,Asia Pacific,Hong Kong,56 ms,6117 kB/s
8.218.85.128,2086,false,HKG,Asia Pacific,Hong Kong,62 ms,6117 kB/s
8.219.117.198,8880,false,SIN,Asia Pacific,Singapore,307 ms,6089 kB/s
8.219.6.150,2082,false,SIN,Asia Pacific,Singapore,286 ms,6087 kB/s
47.238.6.102,2086,false,HKG,Asia Pacific,Hong Kong,72 ms,6001 kB/s
47.243.60.150,2095,false,HKG,Asia Pacific,Hong Kong,61 ms,6001 kB/s
8.218.48.92,80,false,HKG,Asia Pacific,Hong Kong,59 ms,5997 kB/s
47.76.26.26,2086,false,HKG,Asia Pacific,Hong Kong,57 ms,5992 kB/s
47.242.36.78,2086,false,HKG,Asia Pacific,Hong Kong,57 ms,5972 kB/s
8.210.39.96,8880,false,HKG,Asia Pacific,Hong Kong,57 ms,5932 kB/s
8.219.11.158,2095,false,SIN,Asia Pacific,Singapore,277 ms,5932 kB/s
8.218.146.204,2052,false,HKG,Asia Pacific,Hong Kong,68 ms,5928 kB/s
47.237.10.1,2052,false,SIN,Asia Pacific,Singapore,303 ms,5926 kB/s
47.243.86.79,80,false,HKG,Asia Pacific,Hong Kong,61 ms,5922 kB/s
8.218.174.118,8080,false,HKG,Asia Pacific,Hong Kong,59 ms,5921 kB/s
8.219.83.71,2052,false,SIN,Asia Pacific,Singapore,276 ms,5919 kB/s
8.219.42.72,2095,false,SIN,Asia Pacific,Singapore,292 ms,5907 kB/s
8.219.98.13,8080,false,SIN,Asia Pacific,Singapore,282 ms,5903 kB/s
8.210.107.246,2086,false,HKG,Asia Pacific,Hong Kong,60 ms,5897 kB/s
8.210.85.222,2082,false,HKG,Asia Pacific,Hong Kong,63 ms,5891 kB/s
47.76.146.1,2082,false,HKG,Asia Pacific,Hong Kong,64 ms,5886 kB/s
8.218.52.115,2095,false,HKG,Asia Pacific,Hong Kong,69 ms,5883 kB/s
8.219.83.201,2086,false,SIN,Asia Pacific,Singapore,299 ms,5877 kB/s
47.76.26.26,2082,false,HKG,Asia Pacific,Hong Kong,58 ms,5863 kB/s
8.218.243.95,2095,false,HKG,Asia Pacific,Hong Kong,58 ms,5855 kB/s
8.219.120.87,8080,false,SIN,Asia Pacific,Singapore,304 ms,5847 kB/s
8.219.11.158,2052,false,SIN,Asia Pacific,Singapore,298 ms,5836 kB/s
47.236.102.102,2095,false,SIN,Asia Pacific,Singapore,280 ms,5815 kB/s
47.238.6.58,2095,false,HKG,Asia Pacific,Hong Kong,58 ms,5814 kB/s
8.218.65.237,2086,false,HKG,Asia Pacific,Hong Kong,58 ms,5786 kB/s
8.219.98.13,2095,false,SIN,Asia Pacific,Singapore,288 ms,5784 kB/s
8.219.237.250,2095,false,SIN,Asia Pacific,Singapore,296 ms,5782 kB/s
8.219.77.222,2095,false,SIN,Asia Pacific,Singapore,285 ms,5780 kB/s
8.219.40.37,2086,false,SIN,Asia Pacific,Singapore,296 ms,5774 kB/s
8.222.169.222,2095,false,SIN,Asia Pacific,Singapore,279 ms,5766 kB/s
47.76.98.98,2052,false,HKG,Asia Pacific,Hong Kong,67 ms,5751 kB/s
8.219.126.240,2095,false,SIN,Asia Pacific,Singapore,281 ms,5742 kB/s
8.219.139.13,2052,false,SIN,Asia Pacific,Singapore,289 ms,5727 kB/s
8.217.154.218,2052,false,HKG,Asia Pacific,Hong Kong,65 ms,5726 kB/s
47.243.91.58,8080,false,HKG,Asia Pacific,Hong Kong,66 ms,5711 kB/s
8.219.117.198,80,false,SIN,Asia Pacific,Singapore,303 ms,5692 kB/s
47.236.102.102,2052,false,SIN,Asia Pacific,Singapore,293 ms,5684 kB/s
8.218.142.253,2086,false,HKG,Asia Pacific,Hong Kong,63 ms,5663 kB/s
47.236.166.131,2082,false,SIN,Asia Pacific,Singapore,283 ms,5658 kB/s
8.219.93.5,80,false,SIN,Asia Pacific,Singapore,295 ms,5656 kB/s
8.222.150.197,2052,false,SIN,Asia Pacific,Singapore,287 ms,5655 kB/s
8.210.63.130,2086,false,HKG,Asia Pacific,Hong Kong,56 ms,5653 kB/s
8.219.67.133,2095,false,SIN,Asia Pacific,Singapore,282 ms,5644 kB/s
47.236.83.239,2082,false,SIN,Asia Pacific,Singapore,298 ms,5628 kB/s
8.218.81.14,80,false,HKG,Asia Pacific,Hong Kong,56 ms,5619 kB/s
47.243.60.150,80,false,HKG,Asia Pacific,Hong Kong,66 ms,5610 kB/s
8.217.145.40,2095,false,HKG,Asia Pacific,Hong Kong,56 ms,5600 kB/s
47.243.70.186,2052,false,HKG,Asia Pacific,Hong Kong,59 ms,5598 kB/s
47.236.171.205,2082,false,SIN,Asia Pacific,Singapore,289 ms,5593 kB/s
8.219.201.245,80,false,SIN,Asia Pacific,Singapore,303 ms,5578 kB/s
47.238.40.58,80,false,HKG,Asia Pacific,Hong Kong,61 ms,5573 kB/s
8.222.165.117,8880,false,SIN,Asia Pacific,Singapore,302 ms,5563 kB/s
47.242.36.78,2052,false,HKG,Asia Pacific,Hong Kong,59 ms,5552 kB/s
8.218.11.90,2086,false,HKG,Asia Pacific,Hong Kong,64 ms,5547 kB/s
8.217.239.116,2082,false,HKG,Asia Pacific,Hong Kong,64 ms,5543 kB/s
8.218.188.129,2095,false,HKG,Asia Pacific,Hong Kong,61 ms,5540 kB/s
8.219.51.211,8880,false,SIN,Asia Pacific,Singapore,287 ms,5530 kB/s
8.222.183.242,2086,false,SIN,Asia Pacific,Singapore,282 ms,5530 kB/s
8.218.142.253,2082,false,HKG,Asia Pacific,Hong Kong,66 ms,5523 kB/s
8.222.215.228,2082,false,SIN,Asia Pacific,Singapore,292 ms,5523 kB/s
8.219.122.55,2095,false,SIN,Asia Pacific,Singapore,304 ms,5520 kB/s
47.245.102.52,2082,false,SIN,Asia Pacific,Singapore,314 ms,5511 kB/s
8.219.113.232,2052,false,SIN,Asia Pacific,Singapore,300 ms,5510 kB/s
47.236.145.85,8880,false,SIN,Asia Pacific,Singapore,285 ms,5496 kB/s
47.76.26.26,2052,false,HKG,Asia Pacific,Hong Kong,61 ms,5491 kB/s
8.219.100.168,2086,false,SIN,Asia Pacific,Singapore,296 ms,5487 kB/s
8.217.154.218,2082,false,HKG,Asia Pacific,Hong Kong,69 ms,5482 kB/s
8.219.199.220,8080,false,SIN,Asia Pacific,Singapore,284 ms,5479 kB/s
8.219.174.213,8080,false,SIN,Asia Pacific,Singapore,300 ms,5476 kB/s
8.219.111.175,8080,false,SIN,Asia Pacific,Singapore,304 ms,5470 kB/s
8.222.165.117,2086,false,SIN,Asia Pacific,Singapore,285 ms,5467 kB/s
8.219.83.201,2095,false,SIN,Asia Pacific,Singapore,304 ms,5464 kB/s
47.237.10.1,8880,false,SIN,Asia Pacific,Singapore,287 ms,5448 kB/s
8.218.173.78,2082,false,HKG,Asia Pacific,Hong Kong,59 ms,5445 kB/s
8.222.180.86,80,false,SIN,Asia Pacific,Singapore,279 ms,5444 kB/s
8.218.48.92,8080,false,HKG,Asia Pacific,Hong Kong,62 ms,5439 kB/s
8.210.39.96,80,false,HKG,Asia Pacific,Hong Kong,54 ms,5436 kB/s
8.222.165.117,2095,false,SIN,Asia Pacific,Singapore,278 ms,5434 kB/s
8.219.142.191,80,false,SIN,Asia Pacific,Singapore,278 ms,5431 kB/s
8.219.120.87,8880,false,SIN,Asia Pacific,Singapore,284 ms,5429 kB/s
8.218.8.142,80,false,HKG,Asia Pacific,Hong Kong,104 ms,5427 kB/s
8.219.104.37,80,false,SIN,Asia Pacific,Singapore,297 ms,5413 kB/s
8.218.211.17,2095,false,HKG,Asia Pacific,Hong Kong,62 ms,5409 kB/s
8.219.51.211,8080,false,SIN,Asia Pacific,Singapore,307 ms,5401 kB/s
8.219.113.232,8080,false,SIN,Asia Pacific,Singapore,295 ms,5396 kB/s
8.217.149.28,2095,false,HKG,Asia Pacific,Hong Kong,62 ms,5389 kB/s
47.237.11.182,2052,false,SIN,Asia Pacific,Singapore,302 ms,5378 kB/s
8.219.0.162,2095,false,SIN,Asia Pacific,Singapore,303 ms,5362 kB/s
8.210.63.130,2052,false,HKG,Asia Pacific,Hong Kong,61 ms,5360 kB/s
8.219.50.180,8080,false,SIN,Asia Pacific,Singapore,306 ms,5350 kB/s
8.219.117.198,8080,false,SIN,Asia Pacific,Singapore,295 ms,5346 kB/s
47.236.150.13,80,false,SIN,Asia Pacific,Singapore,280 ms,5346 kB/s
8.219.0.162,8880,false,SIN,Asia Pacific,Singapore,306 ms,5340 kB/s
8.219.100.168,8880,false,SIN,Asia Pacific,Singapore,288 ms,5329 kB/s
47.236.144.196,2052,false,SIN,Asia Pacific,Singapore,278 ms,5327 kB/s
8.222.165.117,80,false,SIN,Asia Pacific,Singapore,302 ms,5327 kB/s
8.219.220.88,2095,false,SIN,Asia Pacific,Singapore,301 ms,5327 kB/s
8.219.202.130,80,false,SIN,Asia Pacific,Singapore,301 ms,5316 kB/s
47.236.171.205,2086,false,SIN,Asia Pacific,Singapore,291 ms,5312 kB/s
8.210.85.222,2052,false,HKG,Asia Pacific,Hong Kong,62 ms,5309 kB/s
8.219.222.98,8080,false,SIN,Asia Pacific,Singapore,287 ms,5306 kB/s
8.219.100.168,80,false,SIN,Asia Pacific,Singapore,286 ms,5292 kB/s
47.236.83.239,8080,false,SIN,Asia Pacific,Singapore,298 ms,5288 kB/s
47.236.172.95,2095,false,SIN,Asia Pacific,Singapore,309 ms,5281 kB/s
47.242.252.237,2082,false,HKG,Asia Pacific,Hong Kong,67 ms,5277 kB/s
8.219.161.129,8080,false,SIN,Asia Pacific,Singapore,301 ms,5277 kB/s
8.217.66.3,2052,false,HKG,Asia Pacific,Hong Kong,59 ms,5271 kB/s
47.236.171.205,80,false,SIN,Asia Pacific,Singapore,276 ms,5270 kB/s
8.219.110.81,2086,false,SIN,Asia Pacific,Singapore,284 ms,5269 kB/s
47.238.6.102,2095,false,HKG,Asia Pacific,Hong Kong,69 ms,5268 kB/s
47.243.86.79,2095,false,HKG,Asia Pacific,Hong Kong,66 ms,5265 kB/s
8.222.180.86,2082,false,SIN,Asia Pacific,Singapore,300 ms,5261 kB/s
8.218.136.25,2095,false,HKG,Asia Pacific,Hong Kong,59 ms,5256 kB/s
8.218.174.118,8880,false,HKG,Asia Pacific,Hong Kong,57 ms,5247 kB/s
8.219.111.175,8880,false,SIN,Asia Pacific,Singapore,286 ms,5246 kB/s
8.219.78.188,2095,false,SIN,Asia Pacific,Singapore,296 ms,5243 kB/s
8.218.85.128,2052,false,HKG,Asia Pacific,Hong Kong,63 ms,5237 kB/s
47.236.237.90,8080,false,SIN,Asia Pacific,Singapore,283 ms,5237 kB/s
8.219.110.81,2095,false,SIN,Asia Pacific,Singapore,283 ms,5236 kB/s
8.222.191.138,80,false,SIN,Asia Pacific,Singapore,310 ms,5235 kB/s
8.218.201.73,80,false,HKG,Asia Pacific,Hong Kong,61 ms,5228 kB/s
8.210.39.96,2082,false,HKG,Asia Pacific,Hong Kong,64 ms,5227 kB/s
8.218.85.128,80,false,HKG,Asia Pacific,Hong Kong,59 ms,5224 kB/s
8.219.51.211,2052,false,SIN,Asia Pacific,Singapore,282 ms,5219 kB/s
8.219.114.201,2095,false,SIN,Asia Pacific,Singapore,285 ms,5219 kB/s
8.219.201.245,2052,false,SIN,Asia Pacific,Singapore,300 ms,5214 kB/s
47.236.167.231,8880,false,SIN,Asia Pacific,Singapore,301 ms,5209 kB/s
8.219.229.190,2086,false,SIN,Asia Pacific,Singapore,280 ms,5208 kB/s
47.76.192.24,80,false,HKG,Asia Pacific,Hong Kong,60 ms,5206 kB/s
8.218.22.210,2082,false,HKG,Asia Pacific,Hong Kong,62 ms,5205 kB/s
8.218.74.119,2086,false,HKG,Asia Pacific,Hong Kong,59 ms,5205 kB/s
8.218.74.119,80,false,HKG,Asia Pacific,Hong Kong,62 ms,5205 kB/s
8.218.228.152,2086,false,HKG,Asia Pacific,Hong Kong,57 ms,5203 kB/s
47.236.172.71,2086,false,SIN,Asia Pacific,Singapore,285 ms,5199 kB/s
8.219.132.64,2095,false,SIN,Asia Pacific,Singapore,301 ms,5197 kB/s
8.218.126.53,8880,false,HKG,Asia Pacific,Hong Kong,67 ms,5196 kB/s
47.238.131.39,2095,false,HKG,Asia Pacific,Hong Kong,71 ms,5195 kB/s
8.219.6.150,80,false,SIN,Asia Pacific,Singapore,280 ms,5194 kB/s
8.210.39.96,2086,false,HKG,Asia Pacific,Hong Kong,55 ms,5186 kB/s
8.222.214.231,2082,false,SIN,Asia Pacific,Singapore,289 ms,5186 kB/s
47.236.130.95,2086,false,SIN,Asia Pacific,Singapore,305 ms,5185 kB/s
47.236.171.205,2095,false,SIN,Asia Pacific,Singapore,282 ms,5184 kB/s
8.222.169.222,2052,false,SIN,Asia Pacific,Singapore,275 ms,5178 kB/s
8.219.83.201,2052,false,SIN,Asia Pacific,Singapore,288 ms,5159 kB/s
8.219.132.64,8880,false,SIN,Asia Pacific,Singapore,303 ms,5159 kB/s
8.222.215.228,8080,false,SIN,Asia Pacific,Singapore,281 ms,5156 kB/s
8.219.100.168,2082,false,SIN,Asia Pacific,Singapore,301 ms,5155 kB/s
